,DE-BW,DE-BW-PR,BW,O-BW
1993-02-28,,0.3652084738737858,0.871466,0.8613247
1993-03-31,,0.6984240924089836,0.7730367,0.9291713
1993-04-30,,1.485284269680929,0.418533,0.549239
1993-05-31,,0.06156559077229662,0.2961258,0.4200139
1993-06-30,,0.44041289737490963,0.2636187,0.3129071
1993-07-31,,0.9921112651674289,0.3013883,0.4370176
1993-08-31,,0.814451037542331,0.2384474,0.2941574
1993-09-30,,0.39927735634507117,0.3013469,0.3665208
1993-10-31,,0.47281236733260795,0.461137,0.5353006
1993-11-30,,1.1275094842003865,0.6127183,0.763208
1993-12-31,,1.5713028387945633,0.6501868,0.7764879
1994-01-31,,1.4768982652268055,0.6872206,0.794523
1994-02-28,,-0.3120289177033132,0.6081855,0.7423151
1994-03-31,,0.992896755564425,0.5535935,0.6465729
1994-04-30,,0.3743192781000888,0.4845392,0.5311766
1994-05-31,,0.31045323858704715,0.6139287,0.6107315
1994-06-30,,1.0812294692936146,0.7201184,0.7707162
1994-07-31,,0.613184799871182,0.6410887,0.6993496
1994-08-31,,-0.16094030139598056,0.6688624,0.7537705
1994-09-30,,-0.5547405752389688,0.6760838,0.7741854
1994-10-31,,-0.8299589187512932,0.5410289,0.5872819
1994-11-30,,-0.978960917498543,0.536442,0.560766
1994-12-31,,-0.5804835804430949,0.4057166,0.4535778
1995-01-31,,-1.8001683341345012,0.4601345,0.5436773
1995-02-28,,-1.0031819904966444,0.4775873,0.5158744
1995-03-31,,-1.2811229077578274,0.3295726,0.3723645
1995-04-30,,-1.447489374012454,0.1208118,0.2203783
1995-05-31,,-1.6228666689031113,-0.0111498,0.1071494
1995-06-30,,-1.4310725990324447,-0.0570157,0.0559765
1995-07-31,,-0.7562137972819427,-0.1183737,-0.0145505
1995-08-31,,-1.340805875223785,-0.0015358,0.0143867
1995-09-30,,-0.7740785314809958,0.0546847,0.1098494
1995-10-31,,-1.0103538839615132,0.0865021,0.1755914
1995-11-30,,-0.5386827359901476,0.1757512,0.2472333
1995-12-31,,0.513697372356024,0.2242069,0.3257557
1996-01-31,,0.21205818311349742,0.2779117,0.4283193
1996-02-29,,-0.7885269177381463,0.2864751,0.4057864
1996-03-31,,0.07541678111100994,0.3546684,0.4815016
1996-04-30,,-0.18827109577839612,0.267537,0.3925071
1996-05-31,,-0.2853393163769307,0.3334506,0.4344348
1996-06-30,,0.7470660692324624,0.5495706,0.6426237
1996-07-31,,0.6731460197785362,0.6414926,0.7202398
1996-08-31,,-0.11626482117782616,0.7710406,0.9026813
1996-09-30,,-0.28621523031512597,0.7645589,0.8537785
1996-10-31,,-0.08361465200642101,0.7540684,0.8887146
1996-11-30,,1.1900703720443055,0.7372164,0.8550021
1996-12-31,,0.20161546720569704,0.8083504,0.8705939
1997-01-31,,-0.693305901533513,0.8063369,0.7968428
1997-02-28,,0.14644334385228236,0.8673645,0.9039052
1997-03-31,,-0.46334792061698804,0.833761,0.8483025
1997-04-30,,-0.5536418283750713,1.005301,0.9997706
1997-05-31,,-0.052416225307480746,0.8704057,0.8565722
1997-06-30,,0.155651280511724,0.7795012,0.8326264
1997-07-31,,0.0281014259994912,0.5730353,0.5538882
1997-08-31,,-0.36685718955944346,0.6878368,0.648078
1997-09-30,,0.21484644146192233,0.8177737,0.7938575
1997-10-31,,1.228300053003962,0.6160576,0.4948224
1997-11-30,,1.7866780661348671,0.6550593,0.5804003
1997-12-31,,0.2760553692023746,0.6906624,0.6336278
1998-01-31,,0.8105427518446263,0.6513467,0.5795617
1998-02-28,,0.2443871499289054,0.4568591,0.3861542
1998-03-31,,0.6481692178428421,0.3903036,0.277263
1998-04-30,,0.055771066282667536,0.080843,-0.0159942
1998-05-31,,0.07429104063825223,0.2026114,0.1040419
1998-06-30,,0.11399374483587152,0.1577372,0.0442198
1998-07-31,,0.498721164083599,0.3032969,0.2725537
1998-08-31,,0.22904962790064345,0.3669758,0.3007255
1998-09-30,,-2.6229947170214083,0.312775,0.2584029
1998-10-31,,-0.8158542663310158,0.2033747,0.1930684
1998-11-30,,-2.085172321962085,0.0102589,0.0277882
1998-12-31,,-2.8675338622882647,-0.1906989,-0.1820838
1999-01-31,,-0.509601561062603,-0.1759464,-0.1099446
1999-02-28,,0.7264291228040398,-0.0451081,0.0202445
1999-03-31,,1.5030149892108147,-0.0704138,0.0140487
1999-04-30,,-0.5943478372542508,-0.1685448,-0.0548066
1999-05-31,,-3.5424235166990554,-0.2012237,-0.0959405
1999-06-30,,-1.1461215782128469,-0.0710936,0.0183415
1999-07-31,,-0.2723368794141968,-0.1384217,-0.0899858
1999-08-31,,1.3012020988753457,-0.3241907,-0.169708
1999-09-30,,1.856103875942843,-0.113771,0.0310378
1999-10-31,,1.9036741960873427,-0.2042618,-0.1042585
1999-11-30,,1.4737763522219698,-0.046296,-0.0099387
1999-12-31,,-1.3636195784806948,0.2243838,0.2703665
2000-01-31,,0.0,0.5814121,0.5391476
2000-02-29,6.401607500547275,3.918670658326048,0.5300894,0.462943
2000-03-31,5.510887445367073,2.9205925468021636,0.8979075,0.919367
2000-04-30,4.080839454510176,2.052629042728669,0.430249,0.4149738
2000-05-31,1.904036707786454,1.5760174397585032,0.7181179,0.7336931
2000-06-30,2.614527544455127,1.5074872819684453,0.921241,0.928158
2000-07-31,3.432205964555308,1.2578730139995051,1.193013,1.267885
2000-08-31,-0.133000185313831,-0.8609213759281212,1.186629,1.234378
2000-09-30,1.991407050349589,-0.3284740948314819,1.280108,1.314741
2000-10-31,1.8474609140424,0.2787081479468488,1.329018,1.444374
2000-11-30,3.115844473600193,0.7616944082325432,1.796886,1.959413
2000-12-31,2.1843410111345403,2.5372326208075284,2.063269,2.253173
2001-01-31,2.371423083150821,0.18759293854573314,2.283338,2.477374
2001-02-28,2.535565530317532,0.4140861980507893,2.93867,3.197379
2001-03-31,2.4140131651789924,1.6863680495484041,2.719046,2.931562
2001-04-30,4.204620982346283,2.7096269979854246,2.354128,2.52033
2001-05-31,2.6415346704613936,0.7832766268812966,2.187393,2.082301
2001-06-30,1.529020959766777,0.5049722849547782,2.576188,2.485486
2001-07-31,2.113884702364832,1.33363359514395,2.451426,2.335609
2001-08-31,2.657017378993329,2.2205413210531866,2.490936,2.339884
2001-09-30,4.935052785567399,6.077102743726664,2.335027,2.323466
2001-10-31,8.25740134530373,6.750065588898195,2.103521,1.902213
2001-11-30,5.435921937343872,4.807399281025333,1.389148,1.19068
2001-12-31,2.718606603952286,1.9400850159123206,1.105722,0.9678661
2002-01-31,3.8601619712536275,2.6988874952113,1.353187,1.599227
2002-02-28,3.6479130697530913,3.085674757664132,0.6709366,0.8481948
2002-03-31,3.8708057143783168,3.908461957247577,0.3558867,0.5023572
2002-04-30,2.395756223993093,1.7938172651521964,0.4568599,0.5399799
2002-05-31,4.0266769640244044,2.984484613419234,0.4108474,0.4247847
2002-06-30,5.2954627514754105,3.9562315423134256,0.4446178,0.3859135
2002-07-31,8.655155974321847,6.3416607388056025,-0.0028234,-0.1025522
2002-08-31,8.681871414391406,7.314541379768345,-0.120267,-0.1589165
2002-09-30,8.634717798481882,6.9315849113741,-0.5969905,-0.7397667
2002-10-31,9.167694494341495,6.457264912634832,-0.4512455,-0.5678717
2002-11-30,6.2410860532428725,3.755892850083748,-0.2720179,-0.3757227
2002-12-31,4.774145844540146,3.3611192696452186,-0.3608463,-0.4090234
2003-01-31,6.52620406035088,5.112936360409802,-0.3643521,-0.3498021
2003-02-28,7.166487310439623,5.385276989198916,-0.5355638,-0.4173222
2003-03-31,6.849363586129071,5.282622628033213,-0.3907808,-0.2418781
2003-04-30,6.574023860453714,4.948700107090468,-0.6985596,-0.6085005
2003-05-31,4.445879989961334,2.6418739619387517,-0.7330445,-0.625739
2003-06-30,2.718767955437621,0.9761190896041508,-0.6647335,-0.4529063
2003-07-31,3.828322254927784,2.804104878669108,-0.8596501,-0.6904662
2003-08-31,2.8257642941002374,2.4035010695915675,-0.9416963,-0.7701656
2003-09-30,2.4786085752991207,1.5837048739641246,-0.8003353,-0.6080035
2003-10-31,4.102216676023375,2.7798221757488397,-0.7266217,-0.4373662
2003-11-30,1.9282154315905946,1.3729787135150724,-0.6450797,-0.411771
2003-12-31,1.9480437609725276,1.2273812853017336,-0.8169837,-0.6446413
2004-01-31,2.7465102623407516,2.7465102623407547,-0.6501811,-0.4342062
2004-02-29,1.757353533653977,1.7573535336539732,-0.5215334,-0.3281363
2004-03-31,3.7280269201326077,3.728026920132608,-0.587418,-0.3615075
2004-04-30,3.0497459735098245,3.049745973509827,-0.4607043,-0.2606197
2004-05-31,2.3668723695722633,2.3668723695722633,-0.4570509,-0.2711004
2004-06-30,1.6672329208922525,1.6672329208922538,-0.3912553,-0.170792
2004-07-31,1.6992353274403977,1.6992353274403942,-0.1320261,0.0899621
2004-08-31,3.855734134873042,3.855734134873041,0.0144137,0.2173395
2004-09-30,3.9362222948665737,3.9362222948665684,-0.034059,0.1435345
2004-10-31,2.146607507174894,2.1466075071748945,-0.0294413,0.1926626
2004-11-30,4.448119235835762,4.448119235835765,-0.0303624,0.2146356
2004-12-31,2.373554464033705,2.373554464033702,-0.0394603,0.1812333
2005-01-31,3.6687664132000855,3.668766413200077,0.0455822,0.2384157
2005-02-28,4.796418683274542,4.796418683274542,0.0011541,0.1517219
2005-03-31,4.612209484154053,4.612209484154053,-0.0197399,0.0706481
2005-04-30,5.1487600317453985,5.148760031745409,0.032043,0.2450941
2005-05-31,4.5600108888109885,4.5600108888109885,0.0367144,0.2407276
2005-06-30,3.547011294835176,3.5470112948351833,0.0298624,0.1542495
2005-07-31,3.10398651875944,3.1039865187594513,-0.1687873,0.0518129
2005-08-31,1.9541919562807006,1.9541919562806984,-0.140507,0.1692788
2005-09-30,3.6163324941956443,3.616332494195645,-0.0772636,0.3450445
2005-10-31,4.013139815705114,4.0131398157051095,-0.0484743,0.3704325
2005-11-30,4.347058845343144,4.347058845343139,-0.0066289,0.2701635
2005-12-31,2.840496502309371,2.840496502309374,0.0641679,0.3537202
2006-01-31,3.3387151532427817,3.338715153242778,-0.0059181,0.353995
2006-02-28,4.099329094766768,4.099329094766766,-0.0908002,0.2829801
2006-03-31,5.1887018413893715,5.188701841389373,-0.1178864,0.2293473
2006-04-30,3.362799832119234,3.362799832119239,-0.1689068,0.1708806
2006-05-31,3.4162926565409206,3.416292656540921,-0.0334323,0.3575624
2006-06-30,4.133680631932958,4.133680631932963,0.0349862,0.3985883
2006-07-31,3.516698028695256,3.516698028695254,0.1207409,0.4651835
2006-08-31,4.215893582787729,4.215893582787723,0.133586,0.5028629
2006-09-30,4.973581390208583,4.973581390208582,0.1501119,0.333575
2006-10-31,4.609792626014488,4.609792626014489,0.1505988,0.300631
2006-11-30,4.2850072902418095,4.285007290241808,0.2246197,0.4778222
2006-12-31,3.6958899671503644,3.6958899671503618,0.2159252,0.5309572
2007-01-31,4.96302026086047,4.963020260860469,0.2804499,0.4828748
2007-02-28,5.398351963475568,5.398351963475579,0.4849325,0.6963169
2007-03-31,4.097693184871622,4.09769318487162,0.5463288,0.8416971
2007-04-30,5.469949603528313,5.469949603528326,0.6012499,0.8662221
2007-05-31,5.655628991472432,5.65562899147243,0.3326814,0.6224846
2007-06-30,4.1436409287928155,4.143640928792816,0.3487204,0.6888437
2007-07-31,2.9878393264873218,2.9878393264873204,0.2578031,0.6052637
2007-08-31,2.3711103578434756,2.3711103578434747,0.1842653,0.3765117
2007-09-30,3.7260056535839507,3.7260056535839534,0.1293005,0.3383917
2007-10-31,1.6674892357617084,1.6674892357617086,0.1282348,0.3536657
2007-11-30,0.8082847027640516,0.8082847027640504,0.1221424,0.4153967
2007-12-31,-0.7919062624534912,-0.7919062624534885,0.092505,0.4169228
2008-01-31,-0.7135061074120117,-0.7135061074120099,0.2216436,0.4137831
2008-02-29,1.588240880133756,1.588240880133759,0.2677604,0.1494982
2008-03-31,1.3362639054572185,1.3362639054572178,0.1990785,0.0825215
2008-04-30,1.662121343073842,1.6621213430738395,0.0982953,0.012696
2008-05-31,1.220328494429499,1.2203284944294988,0.0492064,-0.0651068
2008-06-30,0.2657140009905839,0.2657140009905831,0.0425942,-0.0079229
2008-07-31,-0.46241749144130295,-0.4624174914413086,0.0203082,0.0144849
2008-08-31,-0.5173608277061109,-0.5173608277061109,0.0465585,0.0850879
2008-09-30,-0.9347996132427028,-0.9347996132427026,-0.2129947,-0.083872
2008-10-31,-3.5892725535170014,-3.5892725535170062,-0.1971482,-0.224416
2008-11-30,-11.912434631213364,-11.912434631213273,-0.5648913,-0.763234
2008-12-31,-9.636014618765682,-9.636014618765703,-0.4638503,-0.674186
2009-01-31,-8.703477980307438,-8.703477980307444,-0.4630483,-0.5366564
2009-02-28,-10.503631020546797,-10.503631020546804,-0.6632217,-0.7024876
